MeanF3,MeanFz,MeanF4,MeanC3,MeanC4,MeanP3,MeanPz,MeanP4,StdF3,StdFz,StdF4,StdC3,StdC4,StdP3,StdPz,StdP4,MaxF3,MaxFz,MaxF4,MaxC3,MaxC4,MaxP3,MaxPz,MaxP4,MinF3,MinFz,MinF4,MinC3,MinC4,MinP3,MinPz,MinP4,KurtF3,KurtFz,KurtF4,KurtC3,KurtC4,KurtP3,KurtPz,KurtP4,EntrF3,EntrFz,EntrF4,EntrC3,EntrC4,EntrP3,EntrPz,EntrP4
167.279007068863,-92470.2999885444,8818.89218956999,31476.0416044056,32944.2543014733,9338.85882137409,27966.3875486664,-18241.4134840139,887.073933319984,1016.12349937219,1337.7578155967,592.61004687936,556.562646232801,819.210309547712,2108.10584326217,117.530036954929,1369.15340603618,-90291.9823831786,11045.1013592369,32383.7011044597,33822.6340407035,10576.7714661499,30912.653558112,-17859.183802396,-1512.38635556422,-94684.6846164558,6630.18747172794,29580.6455085019,31298.0123467822,7839.60315432342,25778.8916127977,-18415.1030747448,1.90299418814919,3.0968839461838,1.78242456163928,4.3067671545565,3.78187274306347,1.73895748168296,1.2032702524507,2.70462174970797,0.0186948268827515,0.0185808977727552,0.018739913711635,0.0186924990309385,0.01871921596048,0.0186869215228978,0.0180649588797417,0.018735971568046
170.494418671942,-94158.308862271,7436.31179837502,31953.8591447299,33430.6715168942,9109.20644373387,29602.1032298946,-17544.3376900287,301.542329390609,1061.97888523964,679.560592115192,468.803346015601,446.668908536481,412.355344952071,344.083230731187,191.688513527741,758.047864064014,-92553.0792926695,9114.32902952562,32726.4702678996,34162.7726115141,9857.55313829234,30006.2149758376,-17228.9849121198,-355.837921965845,-96643.961325919,6417.80560779353,30844.813387598,32407.2871144983,8374.00308096588,28711.7186950192,-17914.5966146727,2.02680117439394,2.71324944848953,2.78144844377228,2.59504902577878,2.50220753683765,2.07718713663226,2.77375788110776,1.93705193868798,0.0189764624984294,0.0188296636822401,0.0187220072187129,0.0189124233984121,0.0188472781513843,0.018825531791908,0.018673342542642,0.0187407209676228
619.878147603061,-96543.6517552228,8014.86272081956,32126.9180346861,33591.8266092522,9686.80845763977,29460.4779099651,-16957.120124743,95.2882434598257,329.738665515401,370.420862569097,177.240939448435,179.769459276379,119.192600913686,167.132486329437,101.920735690444,786.894467101192,-96009.5414485371,8578.70907546188,32555.7695108353,34018.0953740685,9857.07304352373,29894.878799862,-16819.7751233125,446.346937720795,-97031.9159576333,6951.16237150281,31722.6183658563,33246.3795584931,9450.36947866312,29174.7215195617,-17275.7952360029,1.93039795206572,1.52608762449896,2.93472408044777,2.05206820370694,1.90017283177108,1.87721692445816,1.9531980076923,3.64561979270719,0.0188156042961067,0.0189500099513002,0.0187387131870798,0.0188143430060987,0.0188295944769887,0.018715028298444,0.0187936392300105,0.0186509987448938
665.376411346546,-97060.8667248555,7894.74084122567,32240.6931316639,33703.5123827062,10035.7680707182,29425.2186768109,-16904.4427896158,78.5424595663721,474.653041849822,126.294647377391,106.781158453835,96.5611248333397,223.855019148295,65.4523299546204,52.4630679220762,803.939817197126,-96189.7416007552,8115.36564852438,32552.7113423936,33973.7699764333,10523.8543721201,29616.8014565738,-16811.0866559282,520.515100322002,-98064.3403235578,7628.04960322934,31971.1665556354,33477.7701619238,9636.6805641514,29281.5467292149,-16987.2759403713,1.89731768910787,2.11131642343274,1.96833036122379,3.00261577747447,2.93542649014321,2.20532679401254,2.5406342528768,1.43189293040813,0.0189153199953643,0.0186496561242838,0.0189651266228163,0.0187839108025932,0.0188309205334839,0.018678430110627,0.0187918717025759,0.018880340262136
929.422071349495,-98742.5653721684,7931.14508587633,32564.4812142342,34016.7422434185,10606.397763292,29606.5774190489,-16912.2004250511,257.427236963118,907.327348598279,721.448681429866,508.267118111284,467.864854117213,253.862635458781,428.501878539326,232.986698521007,1512.86566674209,-96746.2386543497,10018.696911323,33682.7697728297,34971.3722659941,11133.2412503427,30462.4816356333,-16682.874607134,111.956370554057,-101262.472958962,6785.42895393297,31213.1223859456,32786.3330416075,9881.80295090214,28559.4296251137,-17361.456994799,5.34109183557154,3.92817877098672,3.97122480611644,3.37814816315987,3.34248026932323,4.1757518484146,3.22488570498077,2.05941012613521,0.0181996975725413,0.018406329362401,0.0182774012064721,0.0184560602711796,0.0182845818962561,0.018428194563027,0.0181697079356296,0.0182811287280345
1397.07969114011,-100267.669006213,8853.45800311533,32706.901242678,34201.1801511069,10190.3952525137,29821.7918581404,-16903.1371924817,267.55024383222,653.41957754018,637.841579936057,354.287195249025,306.545725969786,358.120725976968,288.968284953744,152.782579564019,1846.92808150141,-99230.4367978252,9944.12728898671,33657.7859406588,34994.4742039194,11116.0919087465,30390.7612491752,-16710.7513331541,770.203581501904,-101449.197106701,7007.24260482303,31988.1616298592,33619.0636615717,9762.21938338648,29268.5203887383,-17343.1166222936,1.82839464254213,1.83246838150445,3.3034069144533,2.69667383053625,2.58706173082245,3.36732950365158,1.91556432274588,4.15532553988739,0.0188445776709428,0.0188006541164286,0.0187974045651665,0.0188423627980384,0.0188566469337017,0.0186321819999464,0.0189003584668458,0.0186196364974232
1596.51767974812,-102090.806257057,8620.18225942198,33176.7978712313,34660.2486983803,10680.3740501146,30082.3976205531,-16725.7119223919,281.01758744884,1179.54917114894,482.409519826837,338.196281506599,286.53138360239,261.449018630966,240.001101907009,151.027939245158,2080.08229509121,-99983.3538767084,9630.75955348406,33829.4220312162,35176.2521376013,11180.8122548288,30471.5559495951,-16339.865298199,1190.46530136442,-103773.294687661,7931.16243838952,32407.8351413066,34050.8716844418,10190.2046944051,29590.5134809209,-16930.5344526129,1.69036527264433,1.69997174912798,1.94155640270447,2.20917370691696,2.1174818152755,1.94815039011695,1.98484046599489,3.48225161411112,0.018851866157143,0.0185419258848102,0.0188758563955326,0.018907987580477,0.0188786789585637,0.0189666140269974,0.0187136737239448,0.01863072936459
1820.43386601385,-103657.776705173,9455.88800160737,33146.3614054266,34577.1458365914,10813.6013085084,29974.3510449621,-16130.0047579372,114.824106455913,445.469399806352,325.866998695194,190.294947021338,186.372394233428,117.325708732833,200.250590397673,131.264611786138,2024.73887257285,-103096.55812162,10086.5038427646,33653.538048274,35045.5599315741,11041.109967648,30409.7132479882,-15986.2498120762,1617.43250564716,-104292.259380797,8724.4982045768,32757.3173800491,34240.4391771668,10653.9936031305,29696.9527147596,-16561.2177195687,1.60431232526712,1.24382080876382,2.78225799042037,2.58977757508747,2.34827770148617,1.82222903901605,1.95493999799293,5.3715102410613,0.0186219701458952,0.0185409136347831,0.0188083269936677,0.0188241971305351,0.0188775455578535,0.0188477077760064,0.0187511042519931,0.0183180145778943
1826.55352493858,-103872.659511086,9171.86514206833,33203.306372778,34668.0766428062,10997.6664038209,29866.3754833328,-15861.184058659,49.0277865767659,243.322031728694,78.7666029922849,75.1118814411798,60.6794307229494,89.6850427481616,37.2906260444451,71.6766659104362,1911.80048036476,-103275.378401673,9334.77130958858,33378.6867924523,34802.8306034276,11161.9156604227,29966.6924880623,-15746.7768675363,1713.24745116283,-104252.201073734,8989.07487752836,32993.0968083184,34502.9634501664,10802.3632867247,29787.9572211176,-16017.51380827,2.56716853319256,2.61803232888415,2.2799148497364,2.55988679530859,2.41552286712379,2.12184293821244,2.54441411645921,2.05088918078658,0.0189051133543479,0.0187726818676055,0.018915130083542,0.0188467264555481,0.018912491073941,0.018841475855125,0.0189260748828665,0.0188658549733818
9595.41274441019,-126068.364787807,17946.6382402448,44245.7140637747,42909.6617206476,13498.9571950774,13023.4828429761,-15151.5020193235,1598.7603327651,20366.1514459279,2952.47340868476,7151.04316684061,6933.07391544946,2203.31537627675,2107.96805515914,2444.75772097131,11803.9588636404,16498.6451962771,20998.7430553579,51487.1887611715,49941.0959857422,15897.4904726911,14931.6134113563,1963.19794878049,-1318.66358923601,-147511.999987399,-2347.77723399177,-5756.58432677493,-5586.13755333244,-1779.78555001505,-1672.89489170735,-17548.0905625602,33.9964457158582,38.3030058264387,35.6335659387402,38.2190592987486,38.2643436449352,36.7768609870607,37.9518513105084,38.4607511237566,0.0163453944439099,0.0141006181372236,0.0163356191711042,0.0151232135700907,0.0150172062820713,0.0160128395191243,0.0155411182557562,0.0147178688398472
